"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 12 18:59:35 GMT 2021","Sun Dec 12 18:59:35 GMT 2021","1","","Homepage dup","","Homepage dup","should 2","should 2",""
"broken","Sun Dec 12 18:59:35 GMT 2021","Sun Dec 12 18:59:35 GMT 2021","4","","Homepage","","Homepage","should 2","should 2",""
"passed","Sun Dec 12 18:59:35 GMT 2021","Sun Dec 12 18:59:35 GMT 2021","2","","Homepage","","Homepage","should 1","should 1",""
"passed","Sun Dec 12 18:59:35 GMT 2021","Sun Dec 12 18:59:35 GMT 2021","2","","Homepage dup","","Homepage dup","should 1","should 1",""
